text,label,rating,cleaned_text,vader_sentiment,vader_score,textblob_sentiment,textblob_polarity,lr_sentiment,true_sentiment
This is the worst purchase I have ever made.,Negative,1,this is the worst purchase i have ever made,Negative,-0.6249,Negative,-1.0,Negative,Negative
"I am so glad I bought this, it is wonderful.",Positive,5,i am so glad i bought this it is wonderful,Positive,0.7902,Positive,0.75,Positive,Positive
"Really good quality, arrived quickly and well packaged.",Positive,5,really good quality arrived quickly and well packaged,Positive,0.6478,Positive,0.5166666666666666,Positive,Positive
Not great but not terrible either.,Neutral,3,not great but not terrible either,Positive,0.2924,Neutral,0.04999999999999999,Neutral,Neutral
I am extremely unhappy with this product.,Negative,1,i am extremely unhappy with this product,Negative,-0.4754,Negative,-0.6,Negative,Negative
"Really good quality, arrived quickly and well packaged.",Positive,5,really good quality arrived quickly and well packaged,Positive,0.6478,Positive,0.5166666666666666,Positive,Positive
It arrived intact and works as intended.,Neutral,3,it arrived intact and works as intended,Positive,0.2023,Neutral,0.0,Neutral,Neutral
The size is accurate and the quality is passable.,Neutral,3,the size is accurate and the quality is passable,Neutral,0.0,Positive,0.4000000000000001,Neutral,Neutral
"Highly recommended, the customer service was also excellent.",Positive,5,highly recommended the customer service was also excellent,Positive,0.6997,Positive,0.58,Positive,Positive
Great customer support and fantastic product.,Positive,5,great customer support and fantastic product,Positive,0.886,Positive,0.6000000000000001,Positive,Positive
"It is an okay product, does what it should.",Neutral,3,it is an okay product does what it should,Positive,0.2263,Positive,0.5,Neutral,Neutral
"Good for basic needs, not for heavy use.",Neutral,3,good for basic needs not for heavy use,Positive,0.4404,Positive,0.16666666666666666,Neutral,Neutral
The quality exceeded what I expected at this price point.,Positive,5,the quality exceeded what i expected at this price point,Neutral,0.0,Neutral,-0.1,Positive,Positive
"Works perfectly, highly recommend.",Positive,5,works perfectly highly recommend,Positive,0.7902,Positive,0.16,Positive,Positive
"Terrible purchase, already throwing it away.",Negative,1,terrible purchase already throwing it away,Negative,-0.4767,Negative,-1.0,Negative,Negative
Best investment I have made in a long time.,Positive,5,best investment i have made in a long time,Positive,0.6369,Positive,0.475,Positive,Positive
"Works perfectly, highly recommend.",Positive,5,works perfectly highly recommend,Positive,0.7902,Positive,0.16,Positive,Positive
Not the best but not the worst.,Neutral,3,not the best but not the worst,Positive,0.5035,Neutral,0.0,Neutral,Neutral
"I am so glad I bought this, it is wonderful.",Positive,5,i am so glad i bought this it is wonderful,Positive,0.7902,Positive,0.75,Positive,Positive
Not bad but not great either.,Neutral,3,not bad but not great either,Negative,-0.5448,Neutral,-0.02500000000000005,Neutral,Neutral
Mediocre quality at a reasonable price.,Neutral,3,mediocre quality at a reasonable price,Neutral,0.0,Negative,-0.15,Neutral,Neutral
I would give zero stars if I could.,Negative,1,i would give zero stars if i could,Neutral,0.0,Neutral,0.0,Negative,Negative
"It does what it says, nothing more nothing less.",Neutral,3,it does what it says nothing more nothing less,Neutral,0.0,Positive,0.16666666666666669,Neutral,Neutral
Best investment I have made in a long time.,Positive,5,best investment i have made in a long time,Positive,0.6369,Positive,0.475,Positive,Positive
Completely dissatisfied with this purchase.,Negative,1,completely dissatisfied with this purchase,Negative,-0.4391,Neutral,0.1,Negative,Negative
Not exactly what I expected but acceptable.,Neutral,3,not exactly what i expected but acceptable,Positive,0.4497,Negative,-0.1125,Neutral,Neutral
"It does what it says, nothing more nothing less.",Neutral,3,it does what it says nothing more nothing less,Neutral,0.0,Positive,0.16666666666666669,Neutral,Neutral
"I regret buying this, complete waste.",Negative,1,i regret buying this complete waste,Negative,-0.6808,Neutral,-0.05,Negative,Negative
"Cheap materials, fell apart quickly.",Negative,1,cheap materials fell apart quickly,Neutral,0.0,Positive,0.3666666666666667,Negative,Negative
"Average product, nothing special.",Neutral,3,average product nothing special,Negative,-0.3089,Positive,0.10357142857142858,Neutral,Neutral
The product is okay but the instructions were confusing.,Neutral,3,the product is okay but the instructions were confusing,Negative,-0.2263,Neutral,0.1,Neutral,Neutral
Great quality for the price.,Positive,5,great quality for the price,Positive,0.6249,Positive,0.8,Positive,Positive
"Scam product, totally different from the description.",Negative,1,scam product totally different from the description,Negative,-0.5719,Neutral,0.0,Negative,Negative
"It is an okay product, does what it should.",Neutral,3,it is an okay product does what it should,Positive,0.2263,Positive,0.5,Neutral,Neutral
"Average performance, no major complaints.",Neutral,3,average performance no major complaints,Negative,-0.5994,Neutral,-0.090625,Neutral,Neutral
"Terrible product, broke after one use.",Negative,1,terrible product broke after one use,Negative,-0.7096,Negative,-1.0,Negative,Negative
It serves its purpose but I would not buy again.,Neutral,3,it serves its purpose but i would not buy again,Neutral,0.0,Neutral,0.0,Neutral,Neutral
"Very well made, I can tell it will last a long time.",Positive,5,very well made i can tell it will last a long time,Positive,0.3384,Neutral,0.05000000000000001,Positive,Positive
The quality control is non existent on this product.,Negative,1,the quality control is non existent on this product,Neutral,0.0,Neutral,0.0,Negative,Negative
Fantastic build quality and very easy to use.,Positive,5,fantastic build quality and very easy to use,Positive,0.7778,Positive,0.4816666666666667,Positive,Positive
"Save your money, this is not worth anything.",Negative,1,save your money this is not worth anything,Positive,0.3682,Negative,-0.15,Negative,Negative
Really well packaged and arrived in perfect condition.,Positive,5,really well packaged and arrived in perfect condition,Positive,0.7264,Positive,0.6,Positive,Positive
Does not work as advertised.,Negative,1,does not work as advertised,Neutral,0.0,Neutral,0.0,Negative,Negative
Defective item received. Sending back.,Negative,1,defective item received sending back,Negative,-0.4404,Neutral,0.0,Negative,Negative
"Outstanding performance, worth every penny.",Positive,5,outstanding performance worth every penny,Positive,0.7096,Positive,0.4,Positive,Positive
Very poor quality and bad customer service.,Negative,1,very poor quality and bad customer service,Negative,-0.7841,Negative,-0.6099999999999999,Negative,Negative
"The product broke under normal use, very poor.",Negative,1,the product broke under normal use very poor,Negative,-0.7346,Negative,-0.185,Negative,Negative
"It does what it says, nothing more nothing less.",Neutral,3,it does what it says nothing more nothing less,Neutral,0.0,Positive,0.16666666666666669,Neutral,Neutral
"Useless product, complete waste of money.",Negative,1,useless product complete waste of money,Negative,-0.6808,Negative,-0.20000000000000004,Negative,Negative
"Scam product, totally different from the description.",Negative,1,scam product totally different from the description,Negative,-0.5719,Neutral,0.0,Negative,Negative
"The product itself is fine, shipping was slow.",Neutral,3,the product itself is fine shipping was slow,Positive,0.2023,Neutral,0.05833333333333332,Neutral,Neutral
Exceeded my expectations in every way possible.,Positive,5,exceeded my expectations in every way possible,Neutral,0.0,Neutral,0.0,Positive,Positive
"Awful product, does not work at all.",Negative,1,awful product does not work at all,Negative,-0.4588,Negative,-1.0,Negative,Negative
The packaging was great and the product works flawlessly.,Positive,5,the packaging was great and the product works flawlessly,Positive,0.7096,Positive,0.9,Positive,Positive
It will do for now but I will probably upgrade later.,Neutral,3,it will do for now but i will probably upgrade later,Neutral,0.0,Neutral,0.0,Neutral,Neutral
"It is an okay product, does what it should.",Neutral,3,it is an okay product does what it should,Positive,0.2263,Positive,0.5,Neutral,Neutral
Exceeded my expectations. Very happy!,Positive,5,exceeded my expectations very happy,Positive,0.6115,Positive,1.0,Positive,Positive
"This is exactly what I needed, works great.",Positive,5,this is exactly what i needed works great,Positive,0.6249,Positive,0.525,Positive,Positive
Looks great and works even better.,Positive,5,looks great and works even better,Positive,0.7906,Positive,0.65,Positive,Positive
The item was defective and customer service was no help.,Negative,1,the item was defective and customer service was no help,Negative,-0.34,Neutral,0.0,Negative,Negative
Really well packaged and arrived in perfect condition.,Positive,5,really well packaged and arrived in perfect condition,Positive,0.7264,Positive,0.6,Positive,Positive
Very impressed with the quality and the fast shipping.,Positive,5,very impressed with the quality and the fast shipping,Positive,0.5256,Positive,0.6,Positive,Positive
"Very good product for the price, satisfied.",Positive,5,very good product for the price satisfied,Positive,0.7178,Positive,0.705,Positive,Positive
The value is okay for the price paid.,Neutral,3,the value is okay for the price paid,Positive,0.5106,Positive,0.5,Neutral,Neutral
Looks great and works even better.,Positive,5,looks great and works even better,Positive,0.7906,Positive,0.65,Positive,Positive
Not exactly what I expected but acceptable.,Neutral,3,not exactly what i expected but acceptable,Positive,0.4497,Negative,-0.1125,Neutral,Neutral
"I am so glad I bought this, it is wonderful.",Positive,5,i am so glad i bought this it is wonderful,Positive,0.7902,Positive,0.75,Positive,Positive
The product description was accurate.,Neutral,3,the product description was accurate,Neutral,0.0,Positive,0.4000000000000001,Neutral,Neutral
Really well packaged and arrived in perfect condition.,Positive,5,really well packaged and arrived in perfect condition,Positive,0.7264,Positive,0.6,Positive,Positive
Exceeded my expectations in every way possible.,Positive,5,exceeded my expectations in every way possible,Neutral,0.0,Neutral,0.0,Positive,Positive
The item was defective and customer service was no help.,Negative,1,the item was defective and customer service was no help,Negative,-0.34,Neutral,0.0,Negative,Negative
"Very disappointing, the product is nothing like advertised.",Negative,1,very disappointing the product is nothing like advertised,Negative,-0.6811,Negative,-0.78,Negative,Negative
"Cheap materials, fell apart quickly.",Negative,1,cheap materials fell apart quickly,Neutral,0.0,Positive,0.3666666666666667,Negative,Negative
Really impressed with the durability and finish.,Positive,5,really impressed with the durability and finish,Positive,0.5256,Positive,1.0,Positive,Positive
The item came broken and returning it was a hassle.,Negative,1,the item came broken and returning it was a hassle,Negative,-0.4767,Negative,-0.4,Negative,Negative
There are better options but this is fine.,Neutral,3,there are better options but this is fine,Positive,0.4854,Positive,0.45833333333333337,Neutral,Neutral
"The product broke under normal use, very poor.",Negative,1,the product broke under normal use very poor,Negative,-0.7346,Negative,-0.185,Negative,Negative
"This is exactly what I needed, works great.",Positive,5,this is exactly what i needed works great,Positive,0.6249,Positive,0.525,Positive,Positive
"I am so glad I bought this, it is wonderful.",Positive,5,i am so glad i bought this it is wonderful,Positive,0.7902,Positive,0.75,Positive,Positive
The packaging was great and the product works flawlessly.,Positive,5,the packaging was great and the product works flawlessly,Positive,0.7096,Positive,0.9,Positive,Positive
There are better options but this is fine.,Neutral,3,there are better options but this is fine,Positive,0.4854,Positive,0.45833333333333337,Neutral,Neutral
Very poor quality and bad customer service.,Negative,1,very poor quality and bad customer service,Negative,-0.7841,Negative,-0.6099999999999999,Negative,Negative
The product arrived on time but the packaging was poor.,Neutral,3,the product arrived on time but the packaging was poor,Negative,-0.631,Negative,-0.4,Neutral,Neutral
"Highly recommend, the product exceeded expectations.",Positive,5,highly recommend the product exceeded expectations,Positive,0.4201,Positive,0.16,Positive,Positive
Waste of money. Do not recommend.,Negative,1,waste of money do not recommend,Negative,-0.6007,Negative,-0.2,Negative,Negative
The best part is how easy it is to set up.,Positive,5,the best part is how easy it is to set up,Positive,0.7964,Positive,0.7166666666666667,Positive,Positive
The item was defective and customer service was no help.,Negative,1,the item was defective and customer service was no help,Negative,-0.34,Neutral,0.0,Negative,Negative
Defective item received. Sending back.,Negative,1,defective item received sending back,Negative,-0.4404,Neutral,0.0,Negative,Negative
"Fell apart during first use, total garbage.",Negative,1,fell apart during first use total garbage,Neutral,0.0,Positive,0.125,Negative,Negative
The size is accurate and the quality is passable.,Neutral,3,the size is accurate and the quality is passable,Neutral,0.0,Positive,0.4000000000000001,Neutral,Neutral
The quality control is non existent on this product.,Negative,1,the quality control is non existent on this product,Neutral,0.0,Neutral,0.0,Negative,Negative
"Excellent product, very sturdy and well designed.",Positive,5,excellent product very sturdy and well designed,Positive,0.7239,Positive,0.6,Positive,Positive
Horrible experience. Avoid!,Negative,1,horrible experience avoid,Negative,-0.6908,Negative,-1.0,Negative,Negative
It functions but the design could be better.,Neutral,3,it functions but the design could be better,Positive,0.5927,Positive,0.5,Neutral,Neutral
Looks great and works even better.,Positive,5,looks great and works even better,Positive,0.7906,Positive,0.65,Positive,Positive
"I regret buying this, complete waste.",Negative,1,i regret buying this complete waste,Negative,-0.6808,Neutral,-0.05,Negative,Negative
Above and beyond what I expected for this price.,Positive,5,above and beyond what i expected for this price,Neutral,0.0,Neutral,-0.05,Positive,Positive
The product is top notch and the delivery was fast.,Positive,5,the product is top notch and the delivery was fast,Positive,0.2023,Positive,0.35,Positive,Positive
Above and beyond what I expected for this price.,Positive,5,above and beyond what i expected for this price,Neutral,0.0,Neutral,-0.05,Positive,Positive
It serves its purpose but I would not buy again.,Neutral,3,it serves its purpose but i would not buy again,Neutral,0.0,Neutral,0.0,Neutral,Neutral
Very impressed with the quality and the fast shipping.,Positive,5,very impressed with the quality and the fast shipping,Positive,0.5256,Positive,0.6,Positive,Positive
An average product that meets basic needs.,Neutral,3,an average product that meets basic needs,Neutral,0.0,Neutral,-0.075,Neutral,Neutral
The best part is how easy it is to set up.,Positive,5,the best part is how easy it is to set up,Positive,0.7964,Positive,0.7166666666666667,Positive,Positive
"Very low quality, not usable at all.",Negative,1,very low quality not usable at all,Negative,-0.3384,Neutral,0.0,Negative,Negative
"I am so glad I bought this, it is wonderful.",Positive,5,i am so glad i bought this it is wonderful,Positive,0.7902,Positive,0.75,Positive,Positive
I had high hopes but this was a huge letdown.,Negative,1,i had high hopes but this was a huge letdown,Positive,0.5927,Positive,0.28,Negative,Negative
I am extremely unhappy with this product.,Negative,1,i am extremely unhappy with this product,Negative,-0.4754,Negative,-0.6,Negative,Negative
Exactly as advertised and works perfectly.,Positive,5,exactly as advertised and works perfectly,Positive,0.6369,Positive,0.625,Positive,Positive
"Perfect condition, works exactly as shown in the description.",Positive,5,perfect condition works exactly as shown in the description,Positive,0.5719,Positive,0.625,Positive,Positive
"I can take it or leave it, does not stand out.",Neutral,3,i can take it or leave it does not stand out,Negative,-0.0516,Neutral,0.0,Neutral,Neutral
Broke within the first week of use.,Negative,1,broke within the first week of use,Negative,-0.4215,Positive,0.25,Negative,Negative
The product is defective and there is no support.,Negative,1,the product is defective and there is no support,Negative,-0.34,Neutral,0.0,Negative,Negative
Best investment I have made in a long time.,Positive,5,best investment i have made in a long time,Positive,0.6369,Positive,0.475,Positive,Positive
"Outstanding performance, worth every penny.",Positive,5,outstanding performance worth every penny,Positive,0.7096,Positive,0.4,Positive,Positive
Mediocre quality at a reasonable price.,Neutral,3,mediocre quality at a reasonable price,Neutral,0.0,Negative,-0.15,Neutral,Neutral
Above and beyond what I expected for this price.,Positive,5,above and beyond what i expected for this price,Neutral,0.0,Neutral,-0.05,Positive,Positive
Acceptable quality for the price I paid.,Neutral,3,acceptable quality for the price i paid,Positive,0.3182,Neutral,0.0,Neutral,Neutral
"It's okay, does the job.",Neutral,3,its okay does the job,Positive,0.2263,Positive,0.5,Neutral,Neutral
Nothing special but it works.,Neutral,3,nothing special but it works,Negative,-0.1603,Positive,0.35714285714285715,Neutral,Neutral
"The product itself is fine, shipping was slow.",Neutral,3,the product itself is fine shipping was slow,Positive,0.2023,Neutral,0.05833333333333332,Neutral,Neutral
Exactly as advertised and works perfectly.,Positive,5,exactly as advertised and works perfectly,Positive,0.6369,Positive,0.625,Positive,Positive
Fantastic build quality and very easy to use.,Positive,5,fantastic build quality and very easy to use,Positive,0.7778,Positive,0.4816666666666667,Positive,Positive
Decent for the price point.,Neutral,3,decent for the price point,Neutral,0.0,Positive,0.16666666666666666,Neutral,Neutral
"Average product, nothing special.",Neutral,3,average product nothing special,Negative,-0.3089,Positive,0.10357142857142858,Neutral,Neutral
Fantastic build quality and very easy to use.,Positive,5,fantastic build quality and very easy to use,Positive,0.7778,Positive,0.4816666666666667,Positive,Positive
Very impressed with the quality and the fast shipping.,Positive,5,very impressed with the quality and the fast shipping,Positive,0.5256,Positive,0.6,Positive,Positive
"I love this product, it has made my life so much easier.",Positive,5,i love this product it has made my life so much easier,Positive,0.8062,Positive,0.35,Positive,Positive
"Highly recommend, the product exceeded expectations.",Positive,5,highly recommend the product exceeded expectations,Positive,0.4201,Positive,0.16,Positive,Positive
"Very good product for the price, satisfied.",Positive,5,very good product for the price satisfied,Positive,0.7178,Positive,0.705,Positive,Positive
Does not work as advertised.,Negative,1,does not work as advertised,Neutral,0.0,Neutral,0.0,Negative,Negative
Mediocre quality at a reasonable price.,Neutral,3,mediocre quality at a reasonable price,Neutral,0.0,Negative,-0.15,Neutral,Neutral
The worst quality I have ever seen.,Negative,1,the worst quality i have ever seen,Negative,-0.6249,Negative,-1.0,Negative,Negative
The product description was accurate.,Neutral,3,the product description was accurate,Neutral,0.0,Positive,0.4000000000000001,Neutral,Neutral
It arrived intact and works as intended.,Neutral,3,it arrived intact and works as intended,Positive,0.2023,Neutral,0.0,Neutral,Neutral
"Superb quality, would buy again.",Positive,5,superb quality would buy again,Positive,0.6249,Positive,1.0,Positive,Positive
"Useless product, complete waste of money.",Negative,1,useless product complete waste of money,Negative,-0.6808,Negative,-0.20000000000000004,Negative,Negative
"Very well made, I can tell it will last a long time.",Positive,5,very well made i can tell it will last a long time,Positive,0.3384,Neutral,0.05000000000000001,Positive,Positive
"Outstanding performance, worth every penny.",Positive,5,outstanding performance worth every penny,Positive,0.7096,Positive,0.4,Positive,Positive
"It's okay, does the job.",Neutral,3,its okay does the job,Positive,0.2263,Positive,0.5,Neutral,Neutral
It functions but the design could be better.,Neutral,3,it functions but the design could be better,Positive,0.5927,Positive,0.5,Neutral,Neutral
"Excellent product, very sturdy and well designed.",Positive,5,excellent product very sturdy and well designed,Positive,0.7239,Positive,0.6,Positive,Positive
Waste of money. Do not recommend.,Negative,1,waste of money do not recommend,Negative,-0.6007,Negative,-0.2,Negative,Negative
Great customer support and fantastic product.,Positive,5,great customer support and fantastic product,Positive,0.886,Positive,0.6000000000000001,Positive,Positive
Completely dissatisfied with this purchase.,Negative,1,completely dissatisfied with this purchase,Negative,-0.4391,Neutral,0.1,Negative,Negative
It will do for now but I will probably upgrade later.,Neutral,3,it will do for now but i will probably upgrade later,Neutral,0.0,Neutral,0.0,Neutral,Neutral
The product description was accurate.,Neutral,3,the product description was accurate,Neutral,0.0,Positive,0.4000000000000001,Neutral,Neutral
"Very low quality, not usable at all.",Negative,1,very low quality not usable at all,Negative,-0.3384,Neutral,0.0,Negative,Negative
Very poor quality and bad customer service.,Negative,1,very poor quality and bad customer service,Negative,-0.7841,Negative,-0.6099999999999999,Negative,Negative
The materials are so cheap it is laughable.,Negative,1,the materials are so cheap it is laughable,Positive,0.0516,Neutral,-0.04999999999999999,Negative,Negative
I had high hopes but this was a huge letdown.,Negative,1,i had high hopes but this was a huge letdown,Positive,0.5927,Positive,0.28,Negative,Negative
The quality exceeded what I expected at this price point.,Positive,5,the quality exceeded what i expected at this price point,Neutral,0.0,Neutral,-0.1,Positive,Positive
"Works perfectly, highly recommend.",Positive,5,works perfectly highly recommend,Positive,0.7902,Positive,0.16,Positive,Positive
"Thrilled with my purchase, everything is perfect.",Positive,5,thrilled with my purchase everything is perfect,Positive,0.765,Positive,0.8,Positive,Positive
Decent product but overpriced in my opinion.,Neutral,3,decent product but overpriced in my opinion,Neutral,0.0,Positive,0.16666666666666666,Neutral,Neutral
The material is okay but the build could be sturdier.,Neutral,3,the material is okay but the build could be sturdier,Positive,0.1154,Positive,0.5,Neutral,Neutral
"It stopped working after two days, unacceptable.",Negative,1,it stopped working after two days unacceptable,Negative,-0.5994,Neutral,0.0,Negative,Negative
